stt,ten_cong_ty,trang_thai_khop,ten_chinh_thuc_rekvizitai,ma_so_doanh_nghiep,ma_so_thue_vat,so_dien_thoai,email,website,nguoi_dai_dien,chuc_vu,so_nhan_vien,dia_chi_dang_ky,thanh_pho_dang_ky,ma_buu_chinh_dang_ky,nganh_nghe_dang_ky,rekvizitai_url,ma_phe_duyet_traces,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi_traces,thanh_pho_traces,vung_tinh_traces,quoc_gia,tag_doanh_nghiep_maps,facebook_url,dia_chi_maps,nguon_enrich
295,UAB Cesta,MATCH,"Cesta, UAB",122007945,LT220079417,+370 5 2469898,,http://www.cesta.lt,Jan Belkevič,direktorius,193,"Riešės g. 10, Riešės k., LT-14266 Vilniaus r.",Vilniaus r.,LT-14266,"Mėsa, mėsos produktai; Gamyba; Gyvuliai, žvėrys, paukščiai ir jų veisimas; Maisto produktai",https://rekvizitai.vz.lt/imone/cesta/,LT 41-05; LT67-14 EB; LT 41-05 EB,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | PM (Meat from poultry and lagomorphs) | GM (Meat of farmed game)",MP - Meat Preparation Plant; MM - Minced Meat Plant | SH - Slaughterhouse | SH - Slaughterhouse; CP - Cutting Plant,Riešės g. 10,Riešė,Vilnius County,Lithuania,,,,
296,UAB DAIGINTRAS,MATCH,"Daigintras, UAB",135994757,LT359947515,+370 616 43646,,,Daiva Juodelienė,direktorė,5,"Partizanų g. 55-16, LT-49285 Kaunas",Kaunas,LT-49285,"Mėsa, mėsos produktai; Gyvuliai, žvėrys, paukščiai ir jų veisimas; Maisto produktai",https://rekvizitai.vz.lt/imone/daigintras/,520000992,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Ringaudų sen., Virbališkių k., Verslo g. 3",Dievogalos k.,Kaunas County,Lithuania,,,,
297,UAB DAIGITA,MATCH,"UAB ""Daigita""",302621521,LT100006113317,+370 602 48727,,http://www.rogama.lt,Donatas Racius,,14,"Atgimimo g. 2, Naujasis Obelynas, LT-75202 Šilalės r.",Šilalės r.,LT-75202,"Šaldyti maisto produktai; Maisto gamyba; Maisto produktai; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/daigita/,87-02,1,RPM (Meat products),PP - Processing Plant,"Atgimimo g. 2, 75202 Naujasis Obelynas, Upynos sen., Šilalės r. sav.",Šilalė,Taurage County,Lithuania,,,,
298,UAB DAISENA,MATCH,"Daisena, UAB",134809846,LT348098419,+370 37 473300,,http://www.daisena.lt,Andrius Linauskas,,88,"Sandraugos g. 23, LT-52102 Kaunas",Kaunas,LT-52102,"Gėrimai (nealkoholiniai); Interneto parduotuvės; Konditerija, saldumynai; Maisto produktai",https://rekvizitai.vz.lt/imone/daisena/,190000223,1,GEN (General activity establishment - EU),WM - Wholesale Market,"SANDRAUGOS 23, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
299,UAB DAIVIDA,MATCH,"Daivida, UAB",173113092,LT731130917,+370 458 51575,,http://www.rokiskiomesine.lt,Justinas Kanopa,generalinis direktorius,279,"Ąžuolų g. 21, LT-42135 Rokiškis",Rokiškis,LT-42135,Maisto produktai,https://rekvizitai.vz.lt/imone/daivida/,73-09,1,RPM (Meat products),PP - Processing Plant,Ąžuolų g.21,Rokiškis,Panevezys County,Lithuania,,,,
300,UAB DARVĖJA    LT 71-03,NO_MATCH,,,,,,,,,,,,,,,303063941,1,FLS (Frogs' legs and snails),PP - Processing Plant,"ŽVEJŲ  10, ŠEDUVA, RADVILIŠKIO RAJ.",Šeduva,Siauliai County,Lithuania,,,,
301,UAB DELIKATESAS,MATCH,"Delikatesas 1937, UAB",306974401,LT100017146212,+370 617 27430,,https://delikatesas.lt/,Skaidra Užkurienė,direktorė,188,"V. Kudirkos g. 2, LT-84133 Joniškis",Joniškis,LT-84133,"Mėsa, mėsos produktai; Maisto gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/delikatesas_1937/,LT-47-26,1,RPM (Meat products),PP - Processing Plant,V.Kudirkos g.2,Joniškis,Siauliai County,Lithuania,,,,
302,UAB DILMERA,MATCH,"UAB ""Dilmera""",300960658,LT100003386914,+370 686 49190,,http://www.kiausiniai.lt,Gytis Lalas,,7,"Europos pr. 5, Kaunas",Kaunas,LT-46329,Maisto produktai,https://rekvizitai.vz.lt/imone/uab_dilmera/,190003699,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Partizanų g. 15",Kaunas,Kaunas County,Lithuania,,,,
303,UAB DIVAKS,MATCH,"Divaks, UAB",305440490,LT100012991110,+370 612 99200,,https://www.divaks.com,,,,"Vinco Kudirkos g. 22-12, Vilnius",Vilnius,LT-01113,"Tyrimai, ekspertizės; Maisto gamyba",https://rekvizitai.vz.lt/imone/divaks/,01-47,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Pulko g. 2, Vilnius",Vilnius,Vilnius County,Lithuania,,,,
304,UAB DORA,MATCH,"Dora, UAB",144360296,LT443602917,+370 41 504456,,http://www.dorurankudarbo.lt/,Mantas Žilinskas,direktorius,44,"Kauno g. 16, LT-78103 Šiauliai",Šiauliai,LT-78103,"Mėsa, mėsos produktai; Gamyba; Maisto gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/dora/,LT29-04,1,RPM (Meat products),PP - Processing Plant,Kauno g. 16,Šiauliai,Siauliai County,Lithuania,,,,
305,UAB DR. OETKER LIETUVA,NO_MATCH,,,,,,,,,,,,,,,520001734,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r. sav., Karmėlavos sen., Ramučių k., Erdvės g. 47",Kaunas,Kaunas County,Lithuania,,,,
306,UAB DVARO MĖSA,MATCH,"Dvaro mėsa, UAB",304168379,LT100010325315,+370 620 88111,,http://www.dvaromesa.lt,,,24,"Olakalnio g. 25A, Bendrių k., LT-64234 Alytus",Alytus,LT-64234,"Mėsa, mėsos produktai; Didmeninė prekyba; Gamyba; Maisto parduotuvės",https://rekvizitai.vz.lt/imone/dvaro_mesa/,LT 33-06 EB,1,RPM (Meat products),PP - Processing Plant,Olakalnio g. 25A,Bendrės,Alytus County,Lithuania,,,,
307,UAB Dainiai,MATCH,"Dainiai, UAB",158203935,LT582039314,+370 447 70210,,,Kasparas Jurevičius,direktorius,108,"Eržvilko g. 7, Dainių k., Jurbarko r.",Jurbarko r.,LT-74202,"Gyvuliai, žvėrys, paukščiai ir jų veisimas; Maisto produktai; Mažmeninė prekyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/dainiai/,LT94-16 EB; LT94-16EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,Eržvilko g. 7,Dainiai,Taurage County,Lithuania,,,,
308,UAB Dairy experts,MATCH,"Dairy experts, UAB",302910173,LT100008142019,+370 616 18088,,,Domininkas Kašys,direktorius,2,"Vilniaus g. 2A, Senosios Varėnos k., LT-65487 Varėnos r.",Varėnos r.,LT-65487,Konsultacijų paslaugos,https://rekvizitai.vz.lt/imone/eastern_invest/,38-07,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment,Vilniaus g. 2A,Senoji Varėna,Alytus County,Lithuania,,,,
309,UAB DairyHub.LT,MATCH,"Dairyhub.lt, UAB",305831304,LT100014792611,+370 616 92633,,,Darius Norkus,direktorius,58,"Kauno g. 65, LT-20125 Ukmergė",Ukmergė,LT-20125,Didmeninė prekyba,https://rekvizitai.vz.lt/imone/dairyhub_lt/,LT 81-08P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Vilniaus apskr., Ukmergės r. sav., Ukmergės miesto sen., Ukmergė, Kauno g. 65",Ukmergė,Vilnius County,Lithuania,,,,
310,UAB Dargita tau,MATCH,"Dargita tau, UAB",304528382,LT100010944915,+370 37 249221,,,Lukas Gudeliūnas,,40,"Striaunės g. 22, LT-46128 Kaunas",Kaunas,LT-46128,"Mėsa, mėsos produktai; Gamyba; Maisto gamyba",https://rekvizitai.vz.lt/imone/dargita_tau/,19-07,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Samylų g. 17, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
311,UAB Delikana,MATCH,"Delikana, UAB",301170097,LT100003562213,+370 655 60708,,http://delikana.lt,Laimonas Teresa,direktorius,19,"Tvenkinio g. 55, Neveronių k., Kauno r.",Kauno r.,LT-54478,"Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/uab_delikana/,190011997; 190012368; 190010671,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 38, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
312,UAB Delikatesai,MATCH,"Delikatesai, UAB",301737843,LT100004112610,+370 656 25458,,http://www.uzupiokrautuve.lt,Edita Skripkaitė,,6,"Užupio g. 23, Vilnius",Vilnius,LT-01202,Maisto parduotuvės; Maisto produktai; Mažmeninė prekyba,https://rekvizitai.vz.lt/imone/uzupio_krautuvele_delikatesai_parduotuve/,520001709,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,Kaunas County,Lithuania,,,,
313,UAB EDEGA,MATCH,"Edega, UAB",156718630,LT567186314,+370 349 73144,,http://www.edega.com,Egidijus Tamošiūnas,direktorius,56,"Šaudyklos g. 6, Rukla, LT-55291 Jonavos r.",Jonavos r.,LT-55291,"Žuvininkystė, žuvies produktai; Gamyba",https://rekvizitai.vz.lt/imone/edega/,46-17,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | CS - Cold Stores,"Kauno apskr. Jonavos r. sav., Ruklos sen., Rukla, Šaudyklos g. 6",Rukla,Kaunas County,Lithuania,,,,
314,UAB EIRIMĖ IR KO,MATCH,"Eirimė ir Ko, UAB",134982652,LT349826515,+370 699 55732,,http://eirime.lt,,,1,"Raudondvario pl. 101, LT-47184 Kaunas",Kaunas,LT-47184,"Didmeninė prekyba; Eksportas; Maisto gamybos ir perdirbimo įrengimai; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/eirime_ir_ko/,190002141,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Raudondvario pl. 101",Kaunas,Kaunas County,Lithuania,,,,
315,UAB ELITEX BALTIC,MATCH,"Elitex Baltic, UAB",303169040,LT100008101516,+370 620 40100,,http://milkmarket.lt,Edvinas Sirius,direktorius,5,"Miško g. 30-35, Kaunas",Kaunas,LT-44313,"Pienas, pieno produktai",https://rekvizitai.vz.lt/imone/elitex_baltic/,190010874,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Europos pr. 38",Kaunas,Kaunas County,Lithuania,,,,
316,UAB EMERTA,MATCH,"UAB ""EMERTA""",302788698,LT100007077615,+370 615 35407,,http://www.auginksraiges.lt,Natalija Pronckienė,direktorė,1,"Paskardiškio k. 3, Paskardiškio k., LT-32212 Zarasų r.",Zarasų r.,LT-32212,"Žemės ūkis, paslaugos; Maisto produktai",https://rekvizitai.vz.lt/imone/emerta/,43-03,1,FLS (Frogs' legs and snails),PP - Processing Plant,"Paskardiškis, Salako sen., Zarasų r. sav.",Paskardiškis,Utena County,Lithuania,,,,
317,UAB EMSI,MATCH,"Emsi, UAB",120643955,LT206439515,+370 5 2159780,,http://www.emsi.lt,Jurgita Šindeikė,direktorė,347,"Savanorių pr. 225, LT-02300 Vilnius",Vilnius,LT-02300,"Kuras, naftos produktai, degalinės; Kavinės, klubai, barai, restoranai; Mažmeninė prekyba",https://rekvizitai.vz.lt/imone/emsi/,LT 41-015 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Bukiškio k.,Bukiškis,Vilnius County,Lithuania,,,,
318,UAB EUGESTA,MATCH,"Eugesta, UAB",121539735,LT215397314,+370 5 2397739,,http://www.eugesta.lt,Kęstutis Stabingis,,460,"Veisiejų g. 135, LT-02236 Vilnius",Vilnius,LT-02236,Didmeninė prekyba; Logistikos paslaugos; Maisto produktai; Transporto paslaugos,https://rekvizitai.vz.lt/imone/eugesta/,LT 01-33 EB,1,GEN (General activity establishment - EU),WM - Wholesale Market; CS - Cold Stores,Veisiejų g. 135,Vilnius,Vilnius County,Lithuania,,,,
319,UAB Eiginta,MATCH,"Eiginta, UAB",133437510,LT334375113,+370 37 342466,,http://www.silas.lt,Donatas Murauskas,,570,"Jonavos g. 282, Kaunas",Kaunas,LT-44131,Maisto parduotuvės; Maisto gamyba; Maisto produktai; Mažmeninė prekyba,https://rekvizitai.vz.lt/imone/eiginta/,19-03,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Panerių g., 58, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
320,UAB Eigirdžių agrofirma,MATCH,UAB Eigirdžių agrofirma,180255117,LT802551113,+370 444 41538,,,Rimantas Lapinskas,direktorius,46,"Telšės g. 11, Eigirdžių k., LT-88127 Telšių r.",Telšių r.,LT-88127,"Gyvuliai, žvėrys, paukščiai ir jų veisimas",https://rekvizitai.vz.lt/imone/eigirdziu_agrofirma/,LT 78-02 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,Telšės g.11,Eigirdžiai,Telsiai County,Lithuania,,,,
321,UAB Eko pirk,MATCH,"UAB ""EKO PIRK""",302454360,LT100005011712,+370 687 04564,,http://www.amritawholesale.com,Jurgita Mackevičienė,,17,"Senasis Ukmergės kel. 307, LT-14247 Vilniaus r.",Vilniaus r.,LT-14247,Sveiki produktai; Didmeninė prekyba; Maisto gamyba; Maisto produktai,https://rekvizitai.vz.lt/imone/uab_eko_pirk/,LT 01-37 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Mokslininkų g. 6A,Vilnius,Vilnius County,Lithuania,,,,
322,UAB Eladus,MATCH,"Eladus, UAB",302571125,LT100007696710,+370 607 94445,,https://www.eladus.lt,Aurimas Zimnickas,direktorius,4,"Architektų g. 10-41, Vilnius",Vilnius,LT-04119,Didmeninė prekyba,https://rekvizitai.vz.lt/imone/eladus/,LT 01-06,1,GEN (General activity establishment - EU),CS - Cold Stores,Titnago g. 8B,Vilnius,Vilnius County,Lithuania,,,,
323,UAB Euribija,MATCH,"UAB ""Euribija""",302775811,LT100006842315,+370 609 05244,,http://www.euribija.lt,Saulius Gabertas,,4,"Taikos pr. 94, LT-51179 Kaunas",Kaunas,LT-51179,"Žuvininkystė, žuvies produktai; Didmeninė prekyba; Maisto produktai; Mažmeninė prekyba",https://rekvizitai.vz.lt/imone/euribija/,190010807,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
324,UAB Eurilata,MATCH,"Eurilata, UAB",125955040,LT259550418,+370 631 66566,,,Roman Ozarovskij,direktorius,36,"Šumsko pl. 231, Verbuškių k., LT-13133 Vilniaus r.",Vilniaus r.,LT-13133,"Mėsa, mėsos produktai; Didmeninė prekyba; Maisto produktai",https://rekvizitai.vz.lt/imone/eurilata/,LT 41-10,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | PP - Processing Plant,Pikeliškių g. 2,Pikeliškės,Vilnius County,Lithuania,,,,
325,UAB Euroginta,MATCH,"Euroginta, UAB",303317069,LT100009409112,+370 687 10970,,,Grigorij Gotoveckij,direktorius,7,"Adomo Mickevičiaus g. 58, Papiškių k., Vilniaus r.",Vilniaus r.,LT-06292,"Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/euroginta/,LT 41-014 M,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,A. Mickevičiaus g. 58,Papiškės,Vilnius County,Lithuania,,,,
326,UAB Europe eggs,NO_MATCH,,,,,,,,,,,,,,,68-04,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Birutės sgk. 5, Plungės r. sav.",Maceniai,Telsiai County,Lithuania,,,,
327,UAB FISHNET,MATCH,"FishNet, UAB",304140344,LT100009879411,+370 606 09575,,http://www.fishnet.lt,Vaidas Juodis,direktorius,12,"Tarpupio g. 29, Mamavio k., LT-21169 Trakų r.",Trakų r.,LT-21169,"Žuvininkystė, žuvies produktai",https://rekvizitai.vz.lt/imone/fishnet/,LT 79-09,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,Tarpupio g. 29,Mamavio k.,Vilnius County,Lithuania,,,,
328,UAB FORSIJA,MATCH,"Forsija, UAB",110607697,LT106076917,+370 37 338932,,http://www.forsija.lt,Mindaugas Kalvaitis,direktorius,14,"Taikos pr. 106A, LT-51167 Kaunas",Kaunas,LT-51167,Logistikos paslaugos; Automobilių prekyba; Transporto paslaugos,https://rekvizitai.vz.lt/imone/forsija/,190014225,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 106A, Kaunas, Lietuva",Kaunas,Kaunas County,Lithuania,,,,
329,UAB FRUSELA,MATCH,"Frusela, UAB",302498823,LT100005321214,+370 37 730585,,http://www.frusela.lt,Tomas Žukauskas,,27,"Gedimino g. 110, Kupiškis",Kupiškis,LT-40134,Gamyba; Logistikos paslaugos; Transporto paslaugos,https://rekvizitai.vz.lt/imone/lautransa/,LT57-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"GEDIMINO 110, Kupiškis, LT-40134",Kupiškis,Panevezys County,Lithuania,,,,
330,UAB Farmers Circle,MATCH,"Farmers Circle, UAB",304827114,LT100011589915,+370 650 80943,,http://www.farmerscircle.lt,Niels Peter Pretzmann,,15,"Žirgyno g. 1, Radiškio k., Ukmergės r.",Ukmergės r.,LT-20364,"Žemės ūkis, paslaugos; Daržininkystė, sodininkystė; Gyvuliai, žvėrys, paukščiai ir jų veisimas",https://rekvizitai.vz.lt/imone/farmers_circle/,LT 81-002 K,1,EEP (Eggs and egg products),PP - Processing Plant,"Žirgyno g. 1, Radiškis, Žemaitkiemio sen.",Radiškis,Vilnius County,Lithuania,,,,
331,UAB Farmers circle processing,MATCH,"Farmers circle processing, UAB",307536765,LT100019484417,+370 650 80943,,,Niels Peter Pretzmann,direktorius,7,"J. Basanavičiaus g. 26, LT-03224 Vilnius",Vilnius,LT-03224,"Mėsa, mėsos produktai; Maisto gamyba; Maisto produktai",https://rekvizitai.vz.lt/imone/farmers_circle_processing/,81-12,5,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | WM (Wild game meat) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | CS - Cold Stores | CP - Cutting Plant; SH - Slaughterhouse | PP - Processing Plant,"Žirgyno g. 11, Radiškio k., Žemaitkiemio sen., Ukmergės r. sav.",Radiškis,Vilnius County,Lithuania,,,,
332,UAB Food haus,MATCH,"Food haus, UAB",306111284,LT100015457418,+370 666 01777,,,Andrej Laveikin,,32,"Konstitucijos g. 18B, LT-09308 Vilnius",Vilnius,LT-09308,Patentinės paslaugos,https://rekvizitai.vz.lt/imone/food_haus/,LT 01-47,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | FFP (Fishery products - EU)",MP - Meat Preparation Plant | PP - Processing Plant,"Pramonės g. 141, Vilniaus m. sav.",Vilnius,Vilnius County,Lithuania,,,,
333,UAB Foodlevel,MATCH,"Foodlevel, UAB",305622137,LT100013402611,+370 600 87434,,https://www.foodlevel.eu,Andrius Boguševičius,direktorius,56,"Liepsnos g. 4, Vilnius",Vilnius,LT-03154,Maisto produktai; Didmeninė prekyba,https://rekvizitai.vz.lt/imone/foodlevel/,LT 01-02,1,FFP (Fishery products - EU),WM - Wholesale Market,Liepsnos g. 4,Vilnius,Vilnius County,Lithuania,,,,
334,UAB Frigolita,MATCH,"Frigolita, UAB",145890372,LT458903716,+370 41 503510,,http://www.frigolita.lt,Eduardas Balsys,direktorius,5,"Dvaro g. 162G, LT-76197 Šiauliai",Šiauliai,LT-76197,"Sandėliavimas; Logistikos paslaugos; Muitinių paslaugos, muitinės; Nekilnojamasis turtas",https://rekvizitai.vz.lt/imone/frigolita/,LT 29-03 EB,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment; WM - Wholesale Market; CS - Cold Stores,Dvaro g. 162G,Šiauliai,Siauliai County,Lithuania,,,,
335,UAB Fudo,MATCH,"Fudo, UAB",110770819,LT107708113,+370 37 451717,,http://www.fudo.lt,Mantas Bernotavičius,generalinis direktorius,85,"Taikos pr. 96, LT-51178 Kaunas",Kaunas,LT-51178,"Sandėliavimas; Maisto produktai; Muitinių paslaugos, muitinės",https://rekvizitai.vz.lt/imone/fudo/,19-37,1,GEN (General activity establishment - EU),CS - Cold Stores,Taikos pr. 96,Kaunas,Kaunas County,Lithuania,,,,
336,UAB GENBA FOOD,MATCH,"UAB ""Genba Food""",302206532,LT100004390716,+370 37 210540,,http://www.genbafood.lt,Nerijus Budreckis,,8,"Alšėnų g. 2A, Kaunas",Kaunas,LT-46394,"Maisto produktai; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/uab_genba_food/,520000716,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Garliavos sen., Pagirių k., Marijampolės g. 27",Pagiriai,Kaunas County,Lithuania,,,,
337,UAB GERANTA IR PARTNERIAI,MATCH,"Geranta ir partneriai, UAB",279876220,LT798762219,+370 446 61559,,,Aušra Malkevičienė,direktorius,13,"Gedimino g. 50, LT-72336 Tauragė",Tauragė,LT-72336,"Maisto produktai; Gamyba; Mažmeninė prekyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/geranta_ir_partneriai/,77-18,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Tauragės r. sav., Tauragės miesto sen., Tauragė, Gedimino g. 50",Tauragė,Taurage County,Lithuania,,,,
338,UAB GODERUS,MATCH,"Goderus, UAB",305580446,LT100014035719,-,,,Oleksiy Tsymbalov,direktorius,1,"Perkūnkiemio g. 13-91, Vilnius",Vilnius,LT-12114,Konsultacijų paslaugos,https://rekvizitai.vz.lt/imone/goderus/,305580446,1,GEN (General activity establishment - EU),WM - Wholesale Market,MARTINAVOS G.8,Martinava,Kaunas County,Lithuania,,,,
339,UAB GURGUOLĖ,MATCH,"Gurguolė, UAB",304251017,LT100010159619,+370 686 22918,,,,,,"Taikos pr. 94, Kaunas",Kaunas,LT-51179,Maisto produktai,https://rekvizitai.vz.lt/imone/gurguole/,190009819,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Taikos pr. 94",Kaunas,Kaunas County,Lithuania,,,,
340,UAB GURMANO SAPNAS,NO_MATCH,,,,,,,,,,,,,,,520001565,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r. sav., Garliavos apylinkių sen., Pagiriai, Marijampolės g. 27",Pagiriai,Kaunas County,Lithuania,,,,
341,UAB Galjana,MATCH,"Galjana, UAB",125373360,LT253733610,+370 5 2385513,,,Jan Gasiulevič,direktorius,20,"Untulių g. 6, LT-11112 Vilnius",Vilnius,LT-11112,"Maisto produktai; Gamyba; Mėsa, mėsos produktai",https://rekvizitai.vz.lt/imone/galjana/,LT 01-05 EB,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,Untulių g. 6,Vilnius,Vilnius County,Lithuania,,,,
342,UAB Garai,MATCH,"Garai, UAB",304063905,LT100009846314,+370 624 76556,,,Tomas Avdejevas,,2,"Jankiškių g. 43A, LT-02300 Vilnius",Vilnius,LT-02300,"Mėsa, mėsos produktai; Gamyba; Maisto gamyba",https://rekvizitai.vz.lt/imone/garai/,LT 01-19,1,RPM (Meat products),PP - Processing Plant,"Gariūnų g. 71, Vilnius",Vilnius,Vilnius County,Lithuania,,,,
343,UAB Gardumeli,MATCH,"Gardumeli, UAB",300549525,LT100002292412,+370 5 2040920,,http://www.gardumeli.com,Viačeslav Rožko,direktorius,41,"Retkonių g. 4, Vilnius",Vilnius,LT-11114,Maisto produktai; Eksportas; Gamyba; Maisto parduotuvės,https://rekvizitai.vz.lt/imone/uab_balzuva_ir_ko/,LT 01-03 EB; 01-10,2,GEN (General activity establishment - EU) | FLS (Frogs' legs and snails),WM - Wholesale Market; CS - Cold Stores | PP - Processing Plant,Arimų g. 35,Vilnius,Vilnius County,Lithuania,,,,
344,UAB Genetiniai ištekliai,MATCH,"Genetiniai ištekliai, UAB",304979983,LT100012088012,+370 687 77099,,,Audrius Zalatoris,direktorius,53,"Ėriškių g. 8, Upytės k., LT-38291 Panevėžio r.",Panevėžio r.,LT-38291,"Žemės ūkis, paslaugos",https://rekvizitai.vz.lt/imone/genetiniai_istekliai/,304979983,1,RM (Meat of domestic ungulates),CP - Cutting Plant; SH - Slaughterhouse,"Arimaičių g. 1, Pavartyčių k., Šeduvos miesto sen., Radviliškio r.",Pavartyčių k.,Siauliai County,Lithuania,,,,
345,UAB Gisnė LT,MATCH,"Gisnė LT, UAB",305173660,LT100012414519,+370 638 74188,,,Gintas Strumyla,direktorius,3,"Europos pr. 34-47, LT-46370 Kaunas",Kaunas,LT-46370,Maisto produktai,https://rekvizitai.vz.lt/imone/gisne_lt/,190012003,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Draugystės g. 19, Kaunas",Kaunas,Kaunas County,Lithuania,,,,
346,UAB Globalfoodconnection,MATCH,"Globalfoodconnection, UAB",306106223,LT100015105618,+370 5 2561233,,http://www.globalfoodconnection.eu,,,7,"Paežerės g. 9, Ruklių k., Utenos r.",Utenos r.,LT-28404,Maisto produktai,https://rekvizitai.vz.lt/imone/globalfoodconnection/,82-10,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment,"Paežerės g. 9, Ruklių k., Daugailių sen., Utenos r. sav.",Nuodėguliai,Utena County,Lithuania,,,,
347,UAB Gonas,MATCH,"Gonas, UAB",303713353,LT100009197718,+370 619 29662,,http://www.nordian.eu,Mindaugas Pocius,,118,"Ližių g. 1, Ližių k., Tauragės r.",Tauragės r.,LT-72364,"Žuvininkystė, žuvies produktai; Gamyba",https://rekvizitai.vz.lt/imone/gonas/,77-10,1,FFP (Fishery products - EU),PP - Processing Plant,"Ližių g. 1, Ližių km., LT-72364 Tauragės r.",Tauragė,Taurage County,Lithuania,,,,
348,UAB Greita upė,MATCH,"Greita upė, UAB",305223070,LT100012804812,+370 655 56505,,,Marius Djačenko,direktorius,2,"Baltijos g. 65-22, Kaunas",Kaunas,LT-47136,"Pienas, pieno produktai; Maisto produktai",https://rekvizitai.vz.lt/imone/greita_upe/,19-20,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Raudondvario pl. 76,Kaunas,Kaunas County,Lithuania,,,,
