stt,name,business_id,website,email,phone,address,postal_code,city,cities_all,province,keywords_found,offices_count,tol_code,tol_name,line_of_business,company_form,turnover_k_eur,employees,operating_profit_k_eur,facebook_url,linkedin_url,finder_url,tag_doanh_nghiep_maps,dia_chi_maps,nguon_enrich
1690,Rentbisnes Palvelut Oy,2773587-5,,saila.naaralainen@gmail.com,040 756 0906,Kalsintie 34,34110,LAKIALA,LAKIALA,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,84,,-4,,,https://www.finder.fi/yritys/3136076,,,
1691,Rente Oy,2968118-8,https://www.rente.fi,,,Lentokentäntie 50,53600,LAPPEENRANTA,LAPPEENRANTA,Etelä-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,651,13,15,,,https://www.finder.fi/yritys/3263640,,,
1692,Rente Uusimaa Oy,3296282-9,,,,,,LAPPEENRANTA,LAPPEENRANTA,Etelä-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,276,10,5,,,https://www.finder.fi/yritys/3838713,,,
1693,Renteca OY,3235801-5,,timo.broman@pclean.fi,041 487 1588,Vesijärvenkatu 36 C 37,15140,LAHTI,LAHTI,Päijät-Hämeen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,87,,8,,,https://www.finder.fi/yritys/3663393,,,
1694,Rentime,2035108-6,,atte.mattila@luukku.com,040 767 7522,Repolaisentie 5 as. 15,90250,OULU,OULU,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/948453,,,
1695,Rento Team Oy,3224746-2,https://www.rentoteam.fi,,,Ankkurinvarsi 11 A,02320,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,119,5,,,,https://www.finder.fi/yritys/3628914,,,
1696,Rentop Oy,2875798-8,https://www.rentop.fi,info@rentop.fi,040 517 1847,Kauppiaskatu 11 D 32,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,9547,92,797,,,https://www.finder.fi/yritys/3199968,,,
1697,Rentwise Oy,2755647-1,,,046 637 9011,Vaunukalliontie 2 F 61,01200,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,96999,Muu muualla luokittelematon monenlainen henkilökohtainen palvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,194,,5,,,https://www.finder.fi/yritys/3121872,,,
1698,Res-Staff Oy,1443563-8,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1332,36,2,,,https://www.finder.fi/yritys/489316,,,
1699,Reset Pulse,3591062-9,,yonis.daud@gmail.com,040 147 8850,Kurkisuontie 6 N 87,00940,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4265037,,,
1700,RestaUra oy,3265170-5,,,,Lastaajankatu 5,33560,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1829,75,,,,https://www.finder.fi/yritys/3772987,,,
1701,Restaburger Oy,1762517-0,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Ravintola,Osakeyhtiö,1606,45,3,,,https://www.finder.fi/yritys/504313,,,
1702,Restaflow Oy,1782901-8,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2024,56,3,,,https://www.finder.fi/yritys/770689,,,
1703,Restahenkilöstö Oy,0956576-1,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Satakunnan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1795,49,,,,https://www.finder.fi/yritys/489317,,,
1704,Restapower Oy,1762521-8,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus; Ravintola,Osakeyhtiö,915,24,2,,,https://www.finder.fi/yritys/504314,,,
1705,Restaworkers Oy,1098333-8,https://www.hesburger.fi,keskus@hesburger.fi,02 480 890 00,Linnankatu 34,20100,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2258,61,,,,https://www.finder.fi/yritys/456307,,,
1706,Kasco Oy,2731002-5,https://www.rewolt.fi,info@rewolt.fi,050 305 6550,,,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,727,,24,,,https://www.finder.fi/yritys/3107313,,,
1707,Rh Multi-Services Ab,3526942-1,,,,,,MARIEHAMN,MARIEHAMN,Ahvenanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,5,,2,,,https://www.finder.fi/yritys/4196780,,,
1708,Rigeeye JR Palvelut,3535922-4,,,,,,VANTAA,VANTAA,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4205321,,,
1709,Riihimäen Moniapu Tmi Mattila Juha-Pekka,2334948-3,,,040 910 3753,Jarrumiehenkatu 18-20 A 2,11100,RIIHIMÄKI,RIIHIMÄKI,Kanta-Hämeen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/2297300,,,
1710,Rila Finwork Oy,3307039-8,,jay.backman88@gmail.com,040 825 5737,Uudenmaankatu 10 C 91,20500,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,66220,Vakuutusasiamiesten ja -välittäjien toiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/3856664,,,
1711,Rinamet Oy,1935910-1,,sami.kallinen@hpheimo.fi,040 013 8888,Neilikkatie 4,01300,VANTAA,VANTAA,Päijät-Hämeen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/893381,,,
1712,Oy Rindells Bil Ab,3506655-2,,,,,,KAARINA,KAARINA,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,28,1,10,,,https://www.finder.fi/yritys/4174501,,,
1713,Tmi Rinkexpert,1843298-7,,tjuhanironkainen@gmail.com,040 720 4582,Aumarannantie 48,91300,YLIKIIMINKI,YLIKIIMINKI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/2477081,,,
1714,Rintama Solutions Oy,3438786-4,https://www.rintamasolutions.fi,,,,,KAUHAJOKI AS,KAUHAJOKI AS,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,122,1,20,,,https://www.finder.fi/yritys/4098342,,,
1715,Rispekt Oy,3414266-4,,paavola.mikkoanttijuhani@gmail.com,045 233 5550,Tähkäpää 14 A 2,04500,KELLOKOSKI,KELLOKOSKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,160,1,28,,,https://www.finder.fi/yritys/4071658,,,
1716,Rissanen Management Oy,3303608-5,,info@rekrytalo.fi,,,,JYVÄSKYLÄ,JYVÄSKYLÄ,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/3850416,,,
1717,Risto Mikael Tamminen Oy,1032634-6,,ristotamminen@elisanet.fi,040 756 4814,Meritie 4 F 54,03100,NUMMELA,NUMMELA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,17,1,4,,,https://www.finder.fi/yritys/382851,,,
1718,Risulom,3390931-7,,tomilaaksonen@hotmail.com,050 321 1048,Metsärannantie 19,01860,PERTTULA,PERTTULA,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,20,1,-1,,,https://www.finder.fi/yritys/4042325,,,
1719,Riverside Invest Oy,3246996-2,https://www.riversideinvest.fi,janne.torikka@riversideinvest.fi,050 042 0143,Torikantie 85,23800,LAITILA,LAITILA,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,217,1,107,,,https://www.finder.fi/yritys/3691906,,,
1720,RoRico Oy,2506215-2,https://www.rorico.fi,mikko.rohila@rorico.fi,040 726 5476,Hakrinkatu 4 D,26100,RAUMA,RAUMA,Satakunnan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,2495,39,308,,,https://www.finder.fi/yritys/2734945,,,
1721,Rohki Group Oy,3484633-8,https://www.rohkigroup.fi,yhteydenotto@esimerkki.fi,,,,JÄÄLI,JÄÄLI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,17,,2,,,https://www.finder.fi/yritys/4148953,,,
1722,RoleKey,3627419-3,,sozieva.anna@gmail.com,,Nelikkotie 8 C 58,02230,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4309248,,,
1723,Rolig & Kaura Oy,3365578-3,,henna.rolig@gmail.com,044 266 7710,,,HARJAVALTA,HARJAVALTA,Satakunnan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,-1,,,https://www.finder.fi/yritys/4009367,,,
1724,Roothill Oy,2181134-7,https://www.petrolpromotions.fi,satu.hiisijarvi@petrolpromotions.fi,040 829 8060,Terminaalitie 10,13430,HÄMEENLINNA,HÄMEENLINNA,Kanta-Hämeen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,-4,,,https://www.finder.fi/yritys/1829468,,,
1725,Rowan Group Oy,3341031-3,https://www.rowan.fi,,,,,KOKKOLA,KOKKOLA,Keski-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,156,1,35,,,https://www.finder.fi/yritys/3977674,,,
1726,Royals In Service Oy,3264486-3,https://www.royalsinservice.fi,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,361,3,-7,,,https://www.finder.fi/yritys/3771585,,,
1727,Rsb Fin Oy,1482667-1,https://www.rsbfin.fi,,,,,HELSINKI,HELSINKI,Kymenlaakson maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3331,110,295,,,https://www.finder.fi/yritys/486489,,,
1728,Rtt Rekry Tuonti Toivanen,2044041-7,,pentti.toivanen@pmhenkilostopalvelut.fi,040 772 1477,Pajulahdentie 30 A 5,70260,KUOPIO,KUOPIO,Pohjois-Savon maakunta,Henkilöstövuokraus,1,02100,Metsänhoito,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4082327,,,
1729,Ruku&Rubu,3537432-8,,rubel545@hotmail.com,040 351 6664,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4210140,,,
1730,Ruokojärven Palvelut Oy,3392940-6,,,,Marmorintie 85,58220,LOUHI,LOUHI,Etelä-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,86,1,11,,,https://www.finder.fi/yritys/4044838,,,
1731,Rusko Talent Acquisition Company Oy,3494350-9,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,138,1,26,,,https://www.finder.fi/yritys/4160063,,,
1732,Ruut Työvoima Oy,3478415-7,,,,,,Helsinki,Helsinki,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,567,,1,,,https://www.finder.fi/yritys/4142559,,,
1733,Ruuttula Oy,2316977-3,,,040 410 1684,Haapalehdonkatu 1,69150,ESKOLA,ESKOLA,Keski-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,42,1,-4,,,https://www.finder.fi/yritys/2281062,,,
1734,S-A Joyful Oy,3086961-2,,,040 038 2448,,,NOORMARKKU,NOORMARKKU,Satakunnan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,3,,,,,https://www.finder.fi/yritys/3326585,,,
1735,S.S trading,3434837-1,,,040 836 2492,Molnmossvägen 36,64230,NÄRPIÖ AS,NÄRPIÖ AS,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4093744,,,
1736,SC Stelander Oy,2848754-3,,m.stelander@stantonchase.com,040 043 3569,Keilaranta 19 D,02150,ESPOO,ESPOO,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,574,,58,,,https://www.finder.fi/yritys/3182708,,,
1737,SD Services Oy,3369492-6,,,,,,VIHTI,VIHTI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,67,,1,,,https://www.finder.fi/yritys/4014374,,,
1738,SE Henkilöstö Oy,2905724-6,https://www.sehenkilosto.fi,eikka@sehenkilosto.fi,040 166 2260,Itämerenkatu 5,00180,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,541,,-31,,,https://www.finder.fi/yritys/3220661,,,
1739,SF Seniorivuokraus Osk,2491921-4,,,,Sivumaantie 130,65610,MUSTASAARI,MUSTASAARI,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osuuskunta,4,,,,,https://www.finder.fi/yritys/2921129,,,
1740,SF-Raudoitus Oy,2518404-5,,,040 512 5553,Laippatie 4,00880,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,371,2,-12,,,https://www.finder.fi/yritys/2757672,,,
1741,SH Holding Oy,2925239-1,https://www.solohealth.fi,myynti@solohealth.fi,,Ratamestarinkatu 7 B,00520,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,249,,2327,,,https://www.finder.fi/yritys/3235298,,,
1742,SH Works Oy,3606380-4,,,,,,VOLTTI,VOLTTI,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4282822,,,
1743,SHT Diili Oy,3120215-8,https://www.henkilostotalo.fi,,010 230 6530,Yliopistonkatu 33,20100,TURKU,TURKU,Pirkanmaan maakunta,Henkilöstövuokraus,1,78100,Työnvälitystoiminta,Henkilöstövuokraus,Osakeyhtiö,103,3,3,,,https://www.finder.fi/yritys/3365410,,,
1744,SK Saimaa Coop Osk,2886243-8,https://www.saimaabikes.fi,sanna@hanhiniitty.fi,050 548 7653,Ylössaarentie 84,52200,PUUMALA,PUUMALA,Etelä-Savon maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osuuskunta,29,2,-1,,,https://www.finder.fi/yritys/3205708,,,
1745,SK Tek Oy,3313922-8,,,,Kärrysola 5,62200,KAUHAVA,KAUHAVA,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,85,,,,,https://www.finder.fi/yritys/3868434,,,
1746,SMM Palvelut Oy,3538767-1,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4207781,,,
1747,SMP Vuokrapalvelut Oy,3333829-4,,posti@kuljetusliikemarkopohja.fi,,,,VIRRAT,VIRRAT,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1071,18,,,,https://www.finder.fi/yritys/3968604,,,
1748,SOG Finland Oy,2090206-0,,timo.strid@sog.fi,,Omankodintie 8,11130,RIIHIMÄKI,RIIHIMÄKI,Uudenmaan maakunta,Henkilöstövuokraus,1,86220,"Lääkäriasemat, yksityislääkärit ja vastaavat erikoislääkäripalvelut",Henkilöstökoulutus; Henkilöstövuokraus; Lääkäri tai lääkärikeskus,Osakeyhtiö,495,1,64,,,https://www.finder.fi/yritys/1496809,,,
1749,SP Kuskiapu Oy,3594871-5,,,,,,TAMPERE,TAMPERE,Pirkanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4269607,,,
1750,SPP-Staff Oy,3198561-5,,,,Muuntajantie 10 A 1,28760,PORI,PORI,Satakunnan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,15,,-6,,,https://www.finder.fi/yritys/3574758,,,
1751,SS Working Oy,3288692-6,https://www.ssworking.fi,santeri.stenberg@gmail.com,045 328 0909,,,JOKIOINEN,JOKIOINEN,Kanta-Hämeen maakunta,Henkilöstövuokraus,1,96999,Muu muualla luokittelematon monenlainen henkilökohtainen palvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,101,1,9,,,https://www.finder.fi/yritys/3825145,,,
1752,STV-Rakennustekniikka Oy,2107111-5,,,040 553 0527,Niemenmäentie 114,47200,ELIMÄKI,ELIMÄKI,Kymenlaakson maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,255,,-28,,,https://www.finder.fi/yritys/1571508,,,
1753,Saare Oy,2255142-8,,indrek.saare@secum.fi,040 011 4064,Lempilänkatu 5,24240,SALO,SALO,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,41000,Talonrakentaminen,Henkilöstövuokraus,Osakeyhtiö,178,4,3,,,https://www.finder.fi/yritys/2099166,,,
1754,Saarinen Staffing,3139713-5,,jori.saarinen@outlook.com,050 306 6404,Epontie 3 A 2,61300,KURIKKA,KURIKKA,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/3517136,,,
1755,Sagaserafia,3526894-7,,korhonenaleksandra@gmail.com,045 656 4691,Konstankatu 11,80170,JOENSUU,JOENSUU,Pohjois-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4196758,,,
1756,Saimaan Työpalvelu Oy,2589012-6,https://www.saimaantyopalvelu.fi,,050 567 8110,Eteläkatu 16,53500,LAPPEENRANTA,LAPPEENRANTA,Etelä-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,10509,199,598,,,https://www.finder.fi/yritys/2856981,,,
1757,Saino Oy,3505449-8,https://www.saino.fi,,040 630 9190,,,HYLLYKALLIO,HYLLYKALLIO,Etelä-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,61,,12,,,https://www.finder.fi/yritys/4173244,,,
1758,Sajoka Oy,2738575-6,https://www.sajoka.fi,tarmo.kaikkonen@faktia.fi,040 347 4053,Itäinen Pitkäkatu 78 B 42,20810,TURKU,TURKU,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,142,2,,,,https://www.finder.fi/yritys/3112382,,,
1759,Sakal Oy,3160003-3,,,044 215 8933,Halmejärventie 535,75700,VALTIMO,VALTIMO,Pohjois-Karjalan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,133,,-9,,,https://www.finder.fi/yritys/3518060,,,
1760,Nrg Finland Nordic Retail Group Oy,2102071-3,https://www.salenordic.com,info@nrgagency.com,020 775 0950,,,Helsinki,Helsinki,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,1571,18,176,,,https://www.finder.fi/yritys/1606366,,,
1761,Salon Rahtiasema Palvelut Oy,3417232-9,,,,,,SALO,SALO,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,488,7,5,,,https://www.finder.fi/yritys/4075245,,,
1762,Salon Tilausajo Oy,3186030-2,,,,,,HALIKKO,HALIKKO,Varsinais-Suomen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,385,,9,,,https://www.finder.fi/yritys/3560597,,,
1763,Samaale Oy,3479018-6,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,69,1,,,,https://www.finder.fi/yritys/4143140,,,
1764,Samesthetic Oy,3399877-8,,,040 826 7981,Rauhankatu 11 B 33,15110,LAHTI,LAHTI,Päijät-Hämeen maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,,,,,,https://www.finder.fi/yritys/4055212,,,
1765,SamiUdhab tmi,3507591-8,,,,,,HELSINKI,HELSINKI,Uudenmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4175647,,,
1766,SanLis Oy,3489479-4,,,,,,KUIVANIEMI,KUIVANIEMI,Pohjois-Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Osakeyhtiö,62,,20,,,https://www.finder.fi/yritys/4153200,,,
1767,Sandelins allservice,3557785-4,,sandelin.ch@gmail.com,044 019 9583,Söderfjärdsvägen 122 A 1,65410,SUNDOM,SUNDOM,Pohjanmaan maakunta,Henkilöstövuokraus,1,78200,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Henkilöstövuokraus,Yksityinen elinkeinonharjoittaja,,,,,,https://www.finder.fi/yritys/4227524,,,
